group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
std vec push,,,,,1026448.0,ns,50
std vec push,,,,,2007227.0,ns,100
std vec push,,,,,3010026.0,ns,150
std vec push,,,,,4024510.0,ns,200
std vec push,,,,,5156952.0,ns,250
std vec push,,,,,6168704.0,ns,300
std vec push,,,,,7402323.0,ns,350
std vec push,,,,,8127215.0,ns,400
std vec push,,,,,9158382.0,ns,450
std vec push,,,,,10118569.0,ns,500
std vec push,,,,,11141630.0,ns,550
std vec push,,,,,12216896.0,ns,600
std vec push,,,,,13699700.0,ns,650
std vec push,,,,,14683558.0,ns,700
std vec push,,,,,15269548.0,ns,750
std vec push,,,,,16324349.0,ns,800
std vec push,,,,,17410530.0,ns,850
std vec push,,,,,18202473.0,ns,900
std vec push,,,,,19465010.0,ns,950
std vec push,,,,,20114640.0,ns,1000
std vec push,,,,,21187172.0,ns,1050
std vec push,,,,,22249239.0,ns,1100
std vec push,,,,,23266484.0,ns,1150
std vec push,,,,,24159018.0,ns,1200
std vec push,,,,,25284586.0,ns,1250
std vec push,,,,,26316296.0,ns,1300
std vec push,,,,,27209581.0,ns,1350
std vec push,,,,,28353802.0,ns,1400
std vec push,,,,,29351522.0,ns,1450
std vec push,,,,,30109620.0,ns,1500
std vec push,,,,,31242549.0,ns,1550
std vec push,,,,,32330557.0,ns,1600
std vec push,,,,,33139901.0,ns,1650
std vec push,,,,,34388060.0,ns,1700
std vec push,,,,,35942608.0,ns,1750
std vec push,,,,,37940810.0,ns,1800
std vec push,,,,,38252293.0,ns,1850
std vec push,,,,,38276905.0,ns,1900
std vec push,,,,,39382778.0,ns,1950
std vec push,,,,,40224852.0,ns,2000
std vec push,,,,,41566514.0,ns,2050
std vec push,,,,,42376709.0,ns,2100
std vec push,,,,,43678062.0,ns,2150
std vec push,,,,,44360030.0,ns,2200
std vec push,,,,,45395167.0,ns,2250
std vec push,,,,,47310679.0,ns,2300
std vec push,,,,,48310645.0,ns,2350
std vec push,,,,,48555586.0,ns,2400
std vec push,,,,,49243381.0,ns,2450
std vec push,,,,,50835641.0,ns,2500
std vec push,,,,,51416821.0,ns,2550
std vec push,,,,,52401365.0,ns,2600
std vec push,,,,,53402996.0,ns,2650
std vec push,,,,,54521456.0,ns,2700
std vec push,,,,,55404029.0,ns,2750
std vec push,,,,,56298914.0,ns,2800
std vec push,,,,,58935437.0,ns,2850
std vec push,,,,,58420368.0,ns,2900
std vec push,,,,,59432453.0,ns,2950
std vec push,,,,,60342827.0,ns,3000
std vec push,,,,,61689291.0,ns,3050
std vec push,,,,,63997773.0,ns,3100
std vec push,,,,,63660810.0,ns,3150
std vec push,,,,,65012449.0,ns,3200
std vec push,,,,,65537777.0,ns,3250
std vec push,,,,,66689875.0,ns,3300
std vec push,,,,,67650745.0,ns,3350
std vec push,,,,,68626251.0,ns,3400
std vec push,,,,,69665810.0,ns,3450
std vec push,,,,,70253165.0,ns,3500
std vec push,,,,,71499151.0,ns,3550
std vec push,,,,,72603678.0,ns,3600
std vec push,,,,,73611910.0,ns,3650
std vec push,,,,,74365956.0,ns,3700
std vec push,,,,,75498211.0,ns,3750
std vec push,,,,,76554276.0,ns,3800
std vec push,,,,,77601421.0,ns,3850
std vec push,,,,,78905129.0,ns,3900
std vec push,,,,,80344430.0,ns,3950
std vec push,,,,,80822041.0,ns,4000
std vec push,,,,,81708688.0,ns,4050
std vec push,,,,,82782354.0,ns,4100
std vec push,,,,,83680601.0,ns,4150
std vec push,,,,,84336820.0,ns,4200
std vec push,,,,,85980320.0,ns,4250
std vec push,,,,,87007771.0,ns,4300
std vec push,,,,,87723229.0,ns,4350
std vec push,,,,,89597665.0,ns,4400
std vec push,,,,,90871252.0,ns,4450
std vec push,,,,,91084005.0,ns,4500
std vec push,,,,,91744943.0,ns,4550
std vec push,,,,,93180222.0,ns,4600
std vec push,,,,,94246327.0,ns,4650
std vec push,,,,,95010048.0,ns,4700
std vec push,,,,,96590979.0,ns,4750
std vec push,,,,,96655250.0,ns,4800
std vec push,,,,,97580516.0,ns,4850
std vec push,,,,,98711366.0,ns,4900
std vec push,,,,,99898560.0,ns,4950
std vec push,,,,,101530313.0,ns,5000
